centralRadiiAverage,leftCentralRightRadiiAverage,radiusThroughRegression
0.0,0.0,0.0
0.0,0.0,0.0
0.0,347.3663999181584,0.0
757.2532972510311,2402.269117343492,0.0
20468.730198294114,2773.024387151518,0.0
1441.0654982267188,2958.10935827709,0.0
1144.1556883088208,1112.9871376826588,3.35375665434245e13
1182.3143168085744,7505.560437082116,3.35390651774085e13
11739.402914829763,7809.076021934429,3.35361979478485e13
2245.760421215142,7807.7395289969945,3.35297685363205e13
1360.18640859215,2000.529892728714,3.35112093521925e13
2846.6726689177863,3846.745261739911,3.34720361431045e13
7597.328074850678,5125.557005905995,3.34700286718725e13
31750.34972738501,4835.037449201435,3.35160410680325e13
30791.112651079096,3546.564935892114,3.35227354357765e13
44946.28195300349,7201.762752836065,3.35200563695365e13
6745.19446921847,6726.965009860185,3.35178359137925e13
656.1766184468142,5620.487299952499,3.35160452467845e13
363.2157836944389,486.120818595748,3.35150961367685e13
311.99299443978794,312.22789579393765,3.35145174184965e13
312.7117174270226,315.72476670738286,3.35141211436805e13
322.6877426478641,317.5436264043668,3.35139724609285e13
314.13064596252036,319.38449997170864,3.35139414752965e13
323.7862128393153,337.3364314861476,3.35140739156165e13
366.12609364616463,344.5365960438232,3.35141978060165e13
374.78986241766125,408.84996961839306,3.35142424536645e13
485.3141990488227,448.18096716556556,3.35141881700965e13
505.6678238300953,512.1800853085225,3.35140969507285e13
516.4897096221704,517.8780115007202,3.35139781808165e13
518.4306746142016,503.02201851559175,3.35139019177605e13
485.36599294926833,510.9224904043228,3.35137886918085e13
505.08922496434417,466.8781402518517,3.35136584065605e13
458.91564203906955,513.8739501402534,3.35132338350085e13
609.6774882124071,750.1254744027633,3.35121637013125e13
1117.5633231071251,1500.3180234539586,3.35094774069125e13
2507.671794429851,2643.061320798742,3.35051358068485e13
19641.941961025288,5433.616450395065,3.35131645598725e13
78139.91850635184,24164.55426592281,3.35313879564805e13
31075.391184124393,26323.73903751206,3.35325766702085e13
5661.584854079892,23428.46118931234,3.35291134846725e13
856.6982498467318,3946.4583909428297,3.35273885562885e13
498.3842603540363,570.4008612973297,3.35265398267525e13
407.43991885518557,429.2065841337907,3.35264837484485e13
439.92429988624764,415.30615936237376,3.35267629010245e13
391.1086994304748,424.7154101116468,3.35272077147045e13
478.3456063377494,465.32956313262747,3.35275662976485e13
767.2261721428639,3389.3598071649067,3.35279402602085e13
4623.7554133087115,15200.741719772106,3.35281423249125e13
31444.622532269215,23331.170037229054,3.35281944490005e13
145478.78046577374,23463.1860304408,3.352758445901e13
119235.26957438664,14628.765641238218,3.35264580764445e13
88101.20956448722,11259.503146663337,3.35139533425605e13
387100.8810335417,13757.69834268862,3.33643199804165e13
298821.5266164573,3.154794083193151e6,3.37446254018565e13
7.557915940234567e6,3.1577616925552166e6,3.35807205734405e13
238781.31917873005,3.1627104279648475e6,3.35545004410885e13
112482.96701982261,41511.17676209088,3.35476446626565e13
39931.11658247385,39475.943678880816,3.35452994078405e13
9728.829690710863,29317.6145635563,3.35442409917445e13
1853.1621664661898,6809.969172779067,3.35440526533285e13
1401.3819273997299,1276.5359012255883,3.35444008854885e13
1169.9523111932338,1209.973445342849,3.35446942800405e13
1186.2511676009071,1175.0842665444388,3.35449380165605e13
1209.3083398550405,1206.538014969857,3.35452016459165e13
1204.2655411996932,1191.3550501503553,3.35455907862565e13
1159.882840388211,1134.461810051677,0.0
1133.1360904965406,1551.1301042448133,0.0
1678.1392328935715,1445.3176788013216,0.0
0.0,1501.1508550329581,0.0
0.0,0.0,0.0
0.0,0.0,0.0
