x,y,z
605034.3036282175,5.790135552117042e6,0.0
605117.7436717919,5.7902266174909985e6,0.0
605001.8590879813,5.790099535609049e6,0.0
605014.0139344533,5.790113401750094e6,0.0
604917.6514177314,5.789984255350831e6,0.0
604935.4005294584,5.79000903292837e6,0.0
604958.7912185569,5.790046959755207e6,0.0
604985.2880523322,5.790081380952937e6,0.0
604909.0821833786,5.789972279192273e6,0.0
604894.9297085407,5.789952751947933e6,0.0
604877.3117524193,5.789928210974841e6,0.0
604852.4054450296,5.789894391602306e6,0.0
604788.8060516051,5.789821142556107e6,0.0
604775.3624991055,5.789806148170808e6,0.0
604698.4450430415,5.789720234190221e6,0.0
604666.5168873824,5.789685065516525e6,0.0
604655.2709750038,5.789672688269484e6,0.0
604643.7712444367,5.789660038638306e6,0.0
604608.8209504511,5.789624995582557e6,0.0
604581.0188209008,5.7896010303804595e6,0.0
604552.2093858453,5.789577533628001e6,0.0
604524.0142194228,5.789558244810736e6,0.0
604492.7004020863,5.789537855491416e6,0.0
604467.1846177132,5.789523619517859e6,0.0
604441.4283765672,5.78951009071392e6,0.0
604419.3454426324,5.789499844089056e6,0.0
604414.550603029,5.789497918086724e6,0.0
604386.9234384749,5.789486297257393e6,0.0
604369.728973602,5.7894796811992265e6,0.0
604351.7764781691,5.789473383011629e6,0.0
604334.706777865,5.789467971395393e6,0.0
604321.7136805858,5.789463892008037e6,0.0
604274.376776548,5.78945089927123e6,0.0
604263.5344151512,5.789448467625948e6,0.0
