ID,x,y,z,leftCentralRightRadiiAverage,rightsideRadii,centralRadiiAverageOf1Radii,centralRadiiAverageOf2Radii,centralRadiiAverageOf3Radii,centralRadiiAverageOf4Radii,centralRadiiAverageOf5Radii,centralRadiiAverageOf6Radii
1021098276,606981.2573699041,5.749732569917137e6,0.0,0.0,Inf,0.0,0.0,0.0,0.0,0.0,0.0
10250000897,606960.0108869721,5.749755803912295e6,0.0,0.0,13286.136505511664,Inf,0.0,0.0,0.0,0.0,0.0
3354852793,606942.6488802328,5.749774781698734e6,0.0,Inf,Inf,13286.0,31221.0,0.0,0.0,0.0,0.0
3919572408,606941.0981565175,5.749776473154839e6,0.0,36340.0,9693.98685681523,Inf,Inf,Inf,0.0,0.0,0.0
9231304892,606852.7119287981,5.74987273123486e6,0.0,31999.0,264.85212789537854,9694.0,5704.0,4230.0,3496.0,0.0,0.0
9231304891,606842.3755346074,5.749884159885926e6,0.0,3468.0,445.66421842121497,265.0,577.0,672.0,876.0,1036.0,0.0
1021098275,606828.5746391157,5.749901800963454e6,0.0,490.0,758.38296923527,446.0,442.0,768.0,947.0,1095.0,1299.0
1400131758,606811.5478123955,5.749926416158855e6,0.0,640.0,715.2311165058305,758.0,Inf,Inf,Inf,Inf,49456.0
1021098245,606799.8129505977,5.749944679917801e6,0.0,5759.0,15803.581737495244,715.0,1016.0,1550.0,3206.0,3503.0,3893.0
10813104078,606749.1766125448,5.750011959836285e6,0.0,5822.0,947.0575396803014,15804.0,9185.0,7367.0,6828.0,7161.0,7909.0
1400131767,606744.4093323249,5.750018255797926e6,0.0,8889.0,9916.329377288142,947.0,4870.0,4695.0,4673.0,5080.0,6797.0
1400131781,606736.9196038394,5.750027931742068e6,0.0,5518.0,5689.413598982275,9916.0,14003.0,12464.0,10961.0,10377.0,11463.0
10250046525,606695.1502987322,5.750082350107624e6,0.0,9878.0,14028.436507571741,5689.0,6995.0,9106.0,17321.0,25928.0,27796.0
9850427203,606671.011642663,5.750113189568396e6,0.0,8449.0,5628.419106525719,14028.0,17134.0,18854.0,16537.0,16134.0,14540.0
1400131799,606630.0823670836,5.750165078433332e6,0.0,6948.0,1186.3323279911388,5628.0,4673.0,4540.0,4465.0,4087.0,3900.0
1400131802,606600.5483725931,5.750203313522018e6,0.0,2765.0,1480.9684035800049,1186.0,1451.0,1643.0,1691.0,1741.0,1827.0
1400131808,606576.4945456735,5.750237014629751e6,0.0,1292.0,1209.0570079262488,1481.0,1412.0,1313.0,1349.0,1487.0,1577.0
9850427202,606555.959288691,5.750267452842422e6,0.0,1025.0,383.78174678995333,1209.0,944.0,1008.0,1162.0,1267.0,1356.0
1400131811,606552.0233834857,5.750273521882279e6,0.0,1902.0,4113.603332402886,384.0,714.0,1009.0,1131.0,1212.0,1292.0
1400131816,606526.3119508487,5.750321106763788e6,0.0,1982.0,1447.991414306052,4114.0,4003.0,4883.0,4198.0,3753.0,3448.0
1400131821,606486.9898909531,5.750391121997269e6,0.0,1924.0,208.95363063904176,1448.0,2699.0,2735.0,2673.0,2588.0,2490.0
7376818681,606459.4735548706,5.750435264219531e6,0.0,Inf,Inf,209.0,582.0,920.0,1112.0,1235.0,1326.0
9850427196,606454.98329632,5.750445727500078e6,0.0,Inf,3336.639066668963,Inf,Inf,Inf,Inf,Inf,Inf
243531130,606417.9462765892,5.750532047080819e6,0.0,Inf,1309.3300628962968,3337.0,5677.0,4502.0,3911.0,3591.0,3378.0
1400131825,606396.8620100252,5.750578384604969e6,0.0,1883.0,1003.443555014277,1309.0,1853.0,2104.0,2069.0,2066.0,2084.0
7376818682,606386.4503026752,5.750603197272783e6,0.0,2482.0,5132.454775410453,1003.0,1198.0,1573.0,1798.0,1834.0,1867.0
7376835693,606362.6203896982,5.750668646950522e6,0.0,2866.0,2463.088459620646,5132.0,3978.0,3408.0,3202.0,3059.0,2919.0
