ID,x,y,z,leftCentralRightRadiiAverage,rightsideRadii,centralRadiiAverageOf1Radii
59,607672.707,5.757301174e6,0.0,0.0,276.1560357224566,0.0
58,607700.728,5.757296138e6,0.0,0.0,263.0505411934884,276.0
60,607755.395,5.757277146e6,0.0,347.0,502.89262283853014,263.0
57,607797.549,5.75725199e6,0.0,2402.0,6440.864187998457,503.0
56,607835.262,5.757224296e6,0.0,2773.0,1375.3163506175679,6441.0
55,607952.989,5.757140507e6,0.0,2958.0,1058.1475362152457,1375.0
54,608041.708,5.757088688e6,0.0,1113.0,905.4975262151623,1058.0
52,608116.442,5.757053413e6,0.0,7506.0,20553.036248815937,905.0
51,608229.957,5.757014649e6,0.0,7809.0,1968.694290772185,20553.0
53,608321.667,5.75698387e6,0.0,7808.0,901.4880474028598,1969.0
50,608369.717,5.756965706e6,0.0,2001.0,3131.4073400110974,901.0
38,608489.462,5.756905742e6,0.0,3847.0,7507.340397805776,3131.0
68,608559.765,5.756867479e6,0.0,5126.0,4737.9232799011115,7507.0
49,608621.858,5.756834486e6,0.0,4835.0,2259.8486698974184,4738.0
61,608680.711,5.756802111e6,0.0,3547.0,3641.922857877812,2260.0
37,608710.869,5.75678639e6,0.0,7202.0,15703.516730732965,3642.0
67,608787.307,5.756744915e6,0.0,6727.0,835.455440969779,15704.0
48,608867.114,5.756702194e6,0.0,5620.0,322.4897281547526,835.0
36,608928.013,5.756676608e6,0.0,486.0,300.4172866627122,322.0
35,609062.484,5.756665237e6,0.0,312.0,313.7766725643481,300.0
15,609180.205,5.756708541e6,0.0,316.0,332.98034089508826,314.0
62,609229.857,5.756746565e6,0.0,318.0,305.87386575366406,333.0
16,609277.441,5.756801495e6,0.0,319.0,319.29929326637364,306.0
47,609297.952,5.756836646e6,0.0,337.0,386.83613543840517,319.0
39,609316.87,5.756883253e6,0.0,345.0,327.4743594266906,387.0
46,609325.95,5.756915105e6,0.0,409.0,512.2394139900833,327.0
14,609334.359,5.756989201e6,0.0,448.0,504.8291280799226,512.0
63,609329.432,5.757083532e6,0.0,512.0,519.4717138555618,505.0
17,609314.076,5.757153289e6,0.0,518.0,529.3331925666762,519.0
19,609279.846,5.757240134e6,0.0,503.0,460.2611491245373,529.0
18,609243.971,5.757301259e6,0.0,511.0,543.1731295217548,460.0
13,609214.589,5.757339125e6,0.0,467.0,397.20014210926297,543.0
20,609166.053,5.757389343e6,0.0,514.0,601.2485787897425,397.0
34,609127.307,5.757418979e6,0.0,750.0,1251.9277023092845,601.0
40,609073.004,5.757452955e6,0.0,1500.0,2647.7777892628487,1252.0
69,609025.446,5.757479664e6,0.0,2643.0,4029.4784708240923,2648.0
21,608970.979,5.757508699e6,0.0,5434.0,9623.593091098253,4029.0
64,608938.115,5.757526741e6,0.0,24165.0,Inf,9624.0
22,608859.818,5.757569058e6,0.0,26324.0,10507.03278559185,Inf
33,608776.614,5.757614195e6,0.0,23428.0,937.7595464990948,10507.0
11,608638.91,5.757691052e6,0.0,3946.0,394.58284073754527,938.0
23,608591.638,5.757725109e6,0.0,570.0,378.86019665534917,395.0
12,608519.237,5.757805137e6,0.0,429.0,514.1767150084777,379.0
32,608484.233,5.757869963e6,0.0,415.0,352.8815664232943,514.0
45,608470.254,5.757904222e6,0.0,425.0,407.08794890316824,353.0
24,608450.77,5.758010701e6,0.0,465.0,636.0191740714198,407.0
31,608456.069,5.758098328e6,0.0,3389.0,9124.972298520132,636.0
44,608481.823,5.758212595e6,0.0,15201.0,35841.233686724765,9125.0
30,608518.635,5.758365201e6,0.0,23331.0,25027.304126442268,35841.0
41,608546.599,5.758483133e6,0.0,23463.0,9521.020278155365,25027.0
10,608578.051,5.758612832e6,0.0,14629.0,9337.97251911702,9521.0
70,608593.711,5.758680553e6,0.0,11260.0,14919.516642717626,9338.0
25,608616.043,5.758773383e6,0.0,13758.0,17015.605866231217,14920.0
43,608630.826,5.758833439e6,0.0,Inf,Inf,17016.0
7,608679.77,5.759039393e6,0.0,Inf,23822.344728915825,Inf
65,608712.65,5.759177762e6,0.0,Inf,31861.812095123365,23822.0
8,608735.822,5.759273135e6,0.0,41511.0,Inf,31862.0
29,608757.693,5.75936435e6,0.0,39476.0,17716.64547928565,Inf
6,608799.761,5.759541361e6,0.0,29318.0,1386.8247491498016,17717.0
28,608832.128,5.759683377e6,0.0,6810.0,1326.4372899017524,1387.0
66,608842.79,5.759756431e6,0.0,1277.0,1116.3456646252105,1326.0
9,608850.58,5.759852848e6,0.0,1210.0,1187.137381501584,1116.0
42,608850.041,5.75994862e6,0.0,1175.0,1221.7697535065217,1187.0
26,608841.632,5.760045222e6,0.0,1207.0,1210.7069099014648,1222.0
27,608820.848,5.760162561e6,0.0,1191.0,1141.5884870430793,1211.0
71,608797.726,5.760248961e6,0.0,1134.0,1051.090033210487,1142.0
75,608791.113,5.760269594e6,0.0,1551.0,2460.711792480874,1051.0
5,608771.777,5.760322982e6,0.0,1445.0,824.1512107126034,2461.0
74,608764.71,5.760341584e6,0.0,1501.0,1218.589561905397,824.0
72,608747.232,5.760382668e6,0.0,0.0,0.0,1219.0
73,608729.287,5.760420993e6,0.0,0.0,0.0,0.0
