ID,x,y,z,leftCentralRightRadiiAverage,centralRadiiAverageOf1Radii,centralRadiiAverageOf2Radii,centralRadiiAverageOf3Radii
59,607672.707,5.757301174e6,0.0,0.0,0.0,0.0,0.0
58,607700.728,5.757296138e6,0.0,0.0,276.0,0.0,0.0
60,607755.395,5.757277146e6,0.0,347.0,263.0,283.0,0.0
57,607797.549,5.75725199e6,0.0,2402.0,503.0,635.0,757.0
56,607835.262,5.757224296e6,0.0,2773.0,6441.0,28538.0,20469.0
55,607952.989,5.757140507e6,0.0,2958.0,1375.0,1398.0,1441.0
54,608041.708,5.757088688e6,0.0,1113.0,1058.0,1074.0,1144.0
52,608116.442,5.757053413e6,0.0,7506.0,905.0,1070.0,1182.0
51,608229.957,5.757014649e6,0.0,7809.0,20553.0,12589.0,11739.0
53,608321.667,5.75698387e6,0.0,7808.0,1969.0,1906.0,2246.0
50,608369.717,5.756965706e6,0.0,2001.0,901.0,1097.0,1360.0
38,608489.462,5.756905742e6,0.0,3847.0,3131.0,3012.0,2847.0
68,608559.765,5.756867479e6,0.0,5126.0,7507.0,8513.0,7597.0
49,608621.858,5.756834486e6,0.0,4835.0,4738.0,40402.0,31750.0
61,608680.711,5.756802111e6,0.0,3547.0,2260.0,22477.0,30791.0
37,608710.869,5.75678639e6,0.0,7202.0,3642.0,Inf,44946.0
67,608787.307,5.756744915e6,0.0,6727.0,15704.0,9563.0,6745.0
48,608867.114,5.756702194e6,0.0,5620.0,835.0,725.0,656.0
36,608928.013,5.756676608e6,0.0,486.0,322.0,342.0,363.0
35,609062.484,5.756665237e6,0.0,312.0,300.0,303.0,312.0
15,609180.205,5.756708541e6,0.0,316.0,314.0,313.0,313.0
62,609229.857,5.756746565e6,0.0,318.0,333.0,327.0,323.0
16,609277.441,5.756801495e6,0.0,319.0,306.0,311.0,314.0
47,609297.952,5.756836646e6,0.0,337.0,319.0,321.0,324.0
39,609316.87,5.756883253e6,0.0,345.0,387.0,367.0,366.0
46,609325.95,5.756915105e6,0.0,409.0,327.0,360.0,375.0
14,609334.359,5.756989201e6,0.0,448.0,512.0,495.0,485.0
63,609329.432,5.757083532e6,0.0,512.0,505.0,508.0,506.0
17,609314.076,5.757153289e6,0.0,518.0,519.0,518.0,516.0
19,609279.846,5.757240134e6,0.0,503.0,529.0,522.0,518.0
18,609243.971,5.757301259e6,0.0,511.0,460.0,481.0,485.0
13,609214.589,5.757339125e6,0.0,467.0,543.0,512.0,505.0
20,609166.053,5.757389343e6,0.0,514.0,397.0,432.0,459.0
34,609127.307,5.757418979e6,0.0,750.0,601.0,592.0,610.0
40,609073.004,5.757452955e6,0.0,1500.0,1252.0,1201.0,1118.0
69,609025.446,5.757479664e6,0.0,2643.0,2648.0,2593.0,2508.0
21,608970.979,5.757508699e6,0.0,5434.0,4029.0,25237.0,19642.0
64,608938.115,5.757526741e6,0.0,24165.0,9624.0,42202.0,Inf
22,608859.818,5.757569058e6,0.0,26324.0,Inf,42727.0,31075.0
33,608776.614,5.757614195e6,0.0,23428.0,10507.0,7531.0,5662.0
11,608638.91,5.757691052e6,0.0,3946.0,938.0,877.0,857.0
23,608591.638,5.757725109e6,0.0,570.0,395.0,451.0,498.0
12,608519.237,5.757805137e6,0.0,429.0,379.0,388.0,407.0
32,608484.233,5.757869963e6,0.0,415.0,514.0,459.0,440.0
45,608470.254,5.757904222e6,0.0,425.0,353.0,376.0,391.0
24,608450.77,5.758010701e6,0.0,465.0,407.0,431.0,478.0
31,608456.069,5.758098328e6,0.0,3389.0,636.0,706.0,767.0
44,608481.823,5.758212595e6,0.0,15201.0,9125.0,6027.0,4624.0
30,608518.635,5.758365201e6,0.0,23331.0,35841.0,43324.0,31445.0
41,608546.599,5.758483133e6,0.0,23463.0,25027.0,Inf,Inf
10,608578.051,5.758612832e6,0.0,14629.0,9521.0,38331.0,Inf
70,608593.711,5.758680553e6,0.0,11260.0,9338.0,27775.0,Inf
25,608616.043,5.758773383e6,0.0,13758.0,14920.0,46983.0,Inf
43,608630.826,5.758833439e6,0.0,Inf,17016.0,34884.0,Inf
7,608679.77,5.759039393e6,0.0,Inf,Inf,Inf,Inf
65,608712.65,5.759177762e6,0.0,Inf,23822.0,Inf,Inf
8,608735.822,5.759273135e6,0.0,41511.0,31862.0,Inf,Inf
29,608757.693,5.75936435e6,0.0,39476.0,Inf,Inf,39931.0
6,608799.761,5.759541361e6,0.0,29318.0,17717.0,12245.0,9729.0
28,608832.128,5.759683377e6,0.0,6810.0,1387.0,1725.0,1853.0
66,608842.79,5.759756431e6,0.0,1277.0,1326.0,1308.0,1401.0
9,608850.58,5.759852848e6,0.0,1210.0,1116.0,1145.0,1170.0
42,608850.041,5.75994862e6,0.0,1175.0,1187.0,1183.0,1186.0
26,608841.632,5.760045222e6,0.0,1207.0,1222.0,1216.0,1209.0
27,608820.848,5.760162561e6,0.0,1191.0,1211.0,1210.0,1204.0
71,608797.726,5.760248961e6,0.0,1134.0,1142.0,1145.0,1160.0
75,608791.113,5.760269594e6,0.0,1551.0,1051.0,1108.0,1133.0
5,608771.777,5.760322982e6,0.0,1445.0,2461.0,1905.0,1678.0
74,608764.71,5.760341584e6,0.0,1501.0,824.0,1013.0,0.0
72,608747.232,5.760382668e6,0.0,0.0,1219.0,0.0,0.0
73,608729.287,5.760420993e6,0.0,0.0,0.0,0.0,0.0
