x,y,z
608771.777,5.760322982e6,0.0
608799.761,5.759541361e6,0.0
608679.77,5.759039393e6,0.0
608735.822,5.759273135e6,0.0
608850.58,5.759852848e6,0.0
608578.051,5.758612832e6,0.0
608638.91,5.757691052e6,0.0
608519.237,5.757805137e6,0.0
609214.589,5.757339125e6,0.0
609334.359,5.756989201e6,0.0
609180.205,5.756708541e6,0.0
609277.441,5.756801495e6,0.0
609314.076,5.757153289e6,0.0
609243.971,5.757301259e6,0.0
609279.846,5.757240134e6,0.0
609166.053,5.757389343e6,0.0
608970.979,5.757508699e6,0.0
608859.818,5.757569058e6,0.0
608591.638,5.757725109e6,0.0
608450.77,5.758010701e6,0.0
608616.043,5.758773383e6,0.0
608841.632,5.760045222e6,0.0
608820.848,5.760162561e6,0.0
608832.128,5.759683377e6,0.0
608757.693,5.75936435e6,0.0
608518.635,5.758365201e6,0.0
608456.069,5.758098328e6,0.0
608484.233,5.757869963e6,0.0
608776.614,5.757614195e6,0.0
609127.307,5.757418979e6,0.0
609062.484,5.756665237e6,0.0
608928.013,5.756676608e6,0.0
608710.869,5.75678639e6,0.0
608489.462,5.756905742e6,0.0
609316.87,5.756883253e6,0.0
609073.004,5.757452955e6,0.0
608546.599,5.758483133e6,0.0
608850.041,5.75994862e6,0.0
608630.826,5.758833439e6,0.0
608481.823,5.758212595e6,0.0
608470.254,5.757904222e6,0.0
609325.95,5.756915105e6,0.0
609297.952,5.756836646e6,0.0
608867.114,5.756702194e6,0.0
608621.858,5.756834486e6,0.0
608369.717,5.756965706e6,0.0
608229.957,5.757014649e6,0.0
608116.442,5.757053413e6,0.0
608321.667,5.75698387e6,0.0
608041.708,5.757088688e6,0.0
607952.989,5.757140507e6,0.0
607835.262,5.757224296e6,0.0
607797.549,5.75725199e6,0.0
607700.728,5.757296138e6,0.0
607672.707,5.757301174e6,0.0
607755.395,5.757277146e6,0.0
608680.711,5.756802111e6,0.0
609229.857,5.756746565e6,0.0
609329.432,5.757083532e6,0.0
608938.115,5.757526741e6,0.0
608712.65,5.759177762e6,0.0
608842.79,5.759756431e6,0.0
608787.307,5.756744915e6,0.0
608559.765,5.756867479e6,0.0
609025.446,5.757479664e6,0.0
608593.711,5.758680553e6,0.0
608797.726,5.760248961e6,0.0
608747.232,5.760382668e6,0.0
608729.287,5.760420993e6,0.0
608764.71,5.760341584e6,0.0
608791.113,5.760269594e6,0.0
